service,microservice,type,accy,modelFile
Search,frontend,beforeInflection,0.6793545419106222,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_frontend_before.full
Search,frontend,afterInflection,0.817234613372095,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_frontend_after.full
Recommendation,frontend,beforeInflection,0.579274681551527,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Recommendation_frontend_before.full
Recommendation,frontend,afterInflection,0.9093701511730142,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Recommendation_frontend_after.full
Search,search,beforeInflection,-0.723313405132047,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_search_before.full
Search,search,afterInflection,0.8684596241100409,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_search_after.full
Search,reservation,beforeInflection,0.714433728555705,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_reservation_before.full
Search,reservation,afterInflection,0.7294278800090037,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_reservation_after.full
Recommendation,profile,beforeInflection,0.834843869320004,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Recommendation_profile_before.full
Recommendation,profile,afterInflection,0.6595843008765209,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Recommendation_profile_after.full
Search,rate,beforeInflection,0.7462532766868109,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_rate_before.full
Search,rate,afterInflection,0.9337634848434144,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_rate_after.full
Search,geo,beforeInflection,-0.052501141586028144,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_geo_before.full
Search,geo,afterInflection,0.7784642269937362,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_geo_after.full
Recommendation,recommendation,beforeInflection,0.3676180021524908,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Recommendation_recommendation_before.full
Recommendation,recommendation,afterInflection,0.6745193590599341,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Recommendation_recommendation_after.full
Search,profile,beforeInflection,0.8321654864082735,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_profile_before.full
Search,profile,afterInflection,0.28758410716806393,AE/data_hotel-reserv/fittingResult/models/latencyPrediction/Search_profile_after.full
