parentMS,childMS,parentOperation,childOperation,tag,service,step
nginx,nginx,/wrk2-api/review/compose,/wrk2-api/review/compose,1,ComposeReview,1
nginx,nginx,/wrk2-api/review/compose,ComposeReview,1.1,ComposeReview,1
nginx,user-service,ComposeReview,UploadUserWithUsername,1.1.1,ComposeReview,1
user-service,user-service,UploadUserWithUsername,MmcGetUserId,1.1.1.1,ComposeReview,1
user-service,compose-review-service,UploadUserWithUsername,UploadUserId,1.1.1.2,ComposeReview,2
nginx,movie-id-service,ComposeReview,UploadMovieId,1.1.2,ComposeReview,1
movie-id-service,compose-review-service,UploadMovieId,UploadMovieId,1.1.2.1,ComposeReview,3
movie-id-service,rating-service,UploadMovieId,UploadRating,1.1.2.2,ComposeReview,2
rating-service,rating-service,UploadRating,RedisInsert,1.1.2.2.1,ComposeReview,1
rating-service,compose-review-service,UploadRating,UploadRating,1.1.2.2.2,ComposeReview,1
compose-review-service,movie-review-service,UploadRating,UploadMovieReview,1.1.2.2.2.1,ComposeReview,1
movie-review-service,movie-review-service,UploadMovieReview,MongoFindMovie,1.1.2.2.2.1.1,ComposeReview,1
movie-review-service,movie-review-service,UploadMovieReview,MongoUpdate.,1.1.2.2.2.1.2,ComposeReview,1
movie-review-service,movie-review-service,UploadMovieReview,RedisUpdate,1.1.2.2.2.1.3,ComposeReview,1
compose-review-service,user-review-service,UploadRating,UploadUserReview,1.1.2.2.2.2,ComposeReview,1
user-review-service,user-review-service,UploadUserReview,MongoUpdate,1.1.2.2.2.2.1,ComposeReview,1
user-review-service,user-review-service,UploadUserReview,RedisUpdate,1.1.2.2.2.2.2,ComposeReview,1
user-review-service,user-review-service,UploadUserReview,MongoFindUser,1.1.2.2.2.2.3,ComposeReview,1
compose-review-service,review-storage-service,UploadRating,StoreReview,1.1.2.2.2.3,ComposeReview,1
review-storage-service,review-storage-service,StoreReview,MongoInsertReview,1.1.2.2.2.3.1,ComposeReview,1
movie-id-service,movie-id-service,UploadMovieId,MmcGetMovieId,1.1.2.3,ComposeReview,1
movie-id-service,movie-id-service,UploadMovieId,MmcSetMovieId,1.1.2.4,ComposeReview,3
nginx,text-service,ComposeReview,UploadText,1.1.3,ComposeReview,1
text-service,compose-review-service,UploadText,UploadText,1.1.3.1,ComposeReview,1
nginx,unique-id-service,ComposeReview,UploadUniqueId,1.1.4,ComposeReview,1
unique-id-service,compose-review-service,UploadUniqueId,UploadUniqueId,1.1.4.1,ComposeReview,1
