service,microservice,type,accy,modelFile
UserTimeline,nginx-web-server,beforeInflection,0.8595932806220435,AE/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_nginx-web-server_before.full
UserTimeline,nginx-web-server,afterInflection,0.9471498235308129,AE/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_nginx-web-server_after.full
UserTimeline,post-storage-service,beforeInflection,0.8576479546620349,AE/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_post-storage-service_before.full
UserTimeline,post-storage-service,afterInflection,0.7501192333816342,AE/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_post-storage-service_after.full
HomeTimeline,post-storage-service,beforeInflection,0.582564155817458,AE/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_post-storage-service_before.full
HomeTimeline,post-storage-service,afterInflection,0.8268216039982663,AE/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_post-storage-service_after.full
ComposePost,compose-post-service,beforeInflection,0.7827390027680989,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_compose-post-service_before.full
ComposePost,compose-post-service,afterInflection,0.8258675874708482,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_compose-post-service_after.full
UserTimeline,user-timeline-service,beforeInflection,0.8571385307328968,AE/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_user-timeline-service_before.full
UserTimeline,user-timeline-service,afterInflection,0.9400199942337591,AE/data_social-network/fittingResult/models/latencyPrediction/UserTimeline_user-timeline-service_after.full
ComposePost,text-service,beforeInflection,0.9206620485295037,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_text-service_before.full
ComposePost,text-service,afterInflection,0.7657059450335778,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_text-service_after.full
HomeTimeline,nginx-web-server,beforeInflection,0.6739419793377529,AE/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_nginx-web-server_before.full
HomeTimeline,nginx-web-server,afterInflection,0.8418705150434027,AE/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_nginx-web-server_after.full
ComposePost,nginx-web-server,beforeInflection,0.61269395612197,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_nginx-web-server_before.full
ComposePost,nginx-web-server,afterInflection,0.6777326010952271,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_nginx-web-server_after.full
ComposePost,social-graph-service,beforeInflection,0.8943453106636392,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_social-graph-service_before.full
ComposePost,social-graph-service,afterInflection,0.8515923495352655,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_social-graph-service_after.full
ComposePost,write-home-timeline-service,beforeInflection,0.8751640770226754,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_write-home-timeline-service_before.full
ComposePost,write-home-timeline-service,afterInflection,-2.4294617860292282,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_write-home-timeline-service_after.full
HomeTimeline,home-timeline-service,beforeInflection,-0.5482721685223557,AE/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_home-timeline-service_before.full
HomeTimeline,home-timeline-service,afterInflection,0.7209748828452842,AE/data_social-network/fittingResult/models/latencyPrediction/HomeTimeline_home-timeline-service_after.full
ComposePost,user-timeline-service,beforeInflection,0.9417646637229389,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_user-timeline-service_before.full
ComposePost,user-timeline-service,afterInflection,0.7922786882618894,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_user-timeline-service_after.full
ComposePost,url-shorten-service,beforeInflection,0.9111450341530346,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_url-shorten-service_before.full
ComposePost,url-shorten-service,afterInflection,0.8607506549631155,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_url-shorten-service_after.full
ComposePost,user-mention-service,beforeInflection,0.7995998497587966,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_user-mention-service_before.full
ComposePost,user-mention-service,afterInflection,0.8973572797357154,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_user-mention-service_after.full
ComposePost,post-storage-service,beforeInflection,-225232.36050619342,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_post-storage-service_before.full
ComposePost,post-storage-service,afterInflection,-623648.1559181041,AE/data_social-network/fittingResult/models/latencyPrediction/ComposePost_post-storage-service_after.full
