success,inflection,accy,a1,b1,a2,b2,tag,cpuInter,memInter
True,105.0,0.8213820416965657,909.5244489395351,2795.771736014076,556.7571428571446,42366.1999999998,UserTimeline_nginx-web-server,0.25,500.0
True,21.0,0.8999844851579915,20.267854771358554,5088.07501660049,1193.820357295488,-19222.753676353663,UserTimeline_nginx-web-server,0.25,1500.0
True,35.0,0.7895467742518802,119.92250852821147,8401.439858864609,1327.139029534228,-33998.82743442399,UserTimeline_nginx-web-server,0.25,2500.0
True,56.0,0.84405505603609,763.7166669462582,-131.1500068500119,1319.2031538001754,-32771.80935534532,UserTimeline_nginx-web-server,0.25,3000.0
True,35.0,0.8812712538362594,29.120507814442007,7655.470752936857,1209.3762207158234,-31250.951054300287,UserTimeline_nginx-web-server,0.75,500.0
True,42.0,0.7994672852896209,398.94040356800997,7652.317955272418,1227.4130285866945,-30806.356325949604,UserTimeline_nginx-web-server,0.75,2500.0
True,105.0,0.8370400715168633,705.9313654858227,9875.756440034613,68.90518236619403,94872.02817224659,UserTimeline_nginx-web-server,1.25,500.0
True,77.0,0.7936436838382628,323.82733846125575,23618.74313861024,1198.988269203466,-32433.771824903648,UserTimeline_nginx-web-server,1.25,1500.0
True,35.0,0.9313148051031106,166.6067890695602,16114.124983691021,1063.0225172481082,-15923.049049796049,UserTimeline_nginx-web-server,1.25,2000.0
True,11.666666666666666,0.7548709657750202,427.2507103868223,173.89863851868586,11895.672307517942,-137630.0311222177,UserTimeline_post-storage-service,0.25,2000.0
True,12.833333333333334,0.8798008117866732,25.63960801326084,5680.891694832552,8637.740647209603,-103017.27320460265,UserTimeline_post-storage-service,1.25,3000.0
True,11.666666666666666,0.7234554431654886,675.1874157278664,1710.1611438977175,6706.356150375777,-65954.2463558872,UserTimeline_post-storage-service,1.25,1500.0
True,14.0,0.8093196351821053,457.5136316118563,3422.7932186673306,12066.355228139197,-158392.20760341355,UserTimeline_post-storage-service,1.25,500.0
True,16.333333333333332,0.8281607643744067,690.0700495989967,531.4375571975091,19909.23640348827,-309121.6356063327,UserTimeline_post-storage-service,0.75,2000.0
True,16.333333333333332,0.3361995325306403,1094.1136278472532,4554.157879148313,2298.857087005878,19712.275996259137,UserTimeline_post-storage-service,1.25,2500.0
True,11.666666666666666,0.828837137202483,311.8892851615924,332.26250497077626,3124.1232893411106,-32176.305907283844,UserTimeline_post-storage-service,0.25,2500.0
True,7.0,0.8964662106468938,24.201428529824774,700.6250005837379,6238.41227862095,-39291.172681778095,UserTimeline_post-storage-service,0.25,1500.0
True,11.666666666666666,0.6092736701773969,486.3835719950604,-310.3458290775618,14351.019314263813,-168119.18971395717,UserTimeline_post-storage-service,0.25,1000.0
True,11.666666666666666,0.8877045802980255,165.52607075615822,2695.5506975113226,9166.969473721885,-99937.86040628416,UserTimeline_post-storage-service,0.75,1000.0
True,32.0,0.4041739297569589,62.890787103880896,670.4475504337397,12562.399413398558,-433903.3501147811,HomeTimeline_post-storage-service,0.25,1000.0
True,9.0,0.8732948134015461,135.12612605477457,444.20270342989375,7705.231537909271,-69177.04309255359,ComposePost_compose-post-service,0.25,2500.0
True,12.75,0.812963472643319,102.78461539145535,446.87307687947174,10855.6858620151,-139058.44846009655,ComposePost_compose-post-service,0.25,3000.0
True,12.0,0.8197859005982275,134.12384596134157,965.0042319964474,8167.481372843336,-92688.9717536044,ComposePost_compose-post-service,0.75,500.0
True,12.75,0.8347830681279474,306.4097445231317,-217.74962295996858,8475.995913581115,-109402.29759739286,ComposePost_compose-post-service,0.75,1000.0
True,5.25,0.8090475189850496,-973.566666666668,5533.525000000002,8213.309865234936,-82115.86388270432,ComposePost_compose-post-service,0.75,1500.0
True,12.75,0.8352073316653817,152.47025663785325,1090.7146136073566,9504.686520748504,-124550.8717354101,ComposePost_compose-post-service,0.75,2500.0
True,7.5,0.6509803192275638,73.66666666666696,930.7499999999993,5150.600562561805,-35971.54094059217,ComposePost_compose-post-service,0.75,3000.0
True,12.75,0.8333232782342193,199.43128352930077,1249.1130669782456,8860.253506108204,-110614.85020914399,ComposePost_compose-post-service,1.0,1500.0
True,10.5,0.8586385240049437,224.62432661913505,1039.8283669043217,7684.331433223878,-75996.78427438064,ComposePost_compose-post-service,1.0,1000.0
True,12.75,0.8252859134369717,180.05897313931257,1266.8115462223977,10505.85446225726,-145687.11693684434,ComposePost_compose-post-service,1.0,2000.0
True,10.5,0.8036904301044154,248.4063008964788,1217.285163767001,7614.693918752788,-75824.25861953927,ComposePost_compose-post-service,1.0,2500.0
True,9.75,0.8280636040015008,57.322522292259606,4542.55405517893,6820.76854945284,-63059.781391007426,ComposePost_compose-post-service,1.5,1500.0
True,12.75,0.8370547912004357,194.60032960419713,4925.937676290407,10655.430552874086,-159989.73118448214,ComposePost_compose-post-service,1.5,2500.0
True,12.75,0.8199527227075114,444.90381019675976,2067.4071388194384,10564.231850292159,-147359.01485394096,ComposePost_compose-post-service,1.5,3000.0
True,12.75,0.8096776857851792,56.57692332704063,782.7596146608512,9901.263712439199,-125060.65303689988,ComposePost_compose-post-service,0.25,2000.0
True,12.75,0.8177736941740767,261.64025545622894,1084.999614371576,9662.021898328045,-135188.7698262858,ComposePost_compose-post-service,1.0,500.0
True,12.75,0.8502159877813998,91.69512847943592,643.949805342379,10263.19337449828,-130824.39398403614,ComposePost_compose-post-service,0.25,1500.0
True,12.0,0.8615093262568645,165.043077327746,50.200382109196255,8919.319006470243,-103961.31009543706,ComposePost_compose-post-service,0.25,500.0
True,12.75,0.8517948005239339,32.80051243730895,1215.6092332121505,10126.771192747286,-131883.23459664505,ComposePost_compose-post-service,0.25,1000.0
True,15.166666666666666,0.8435428386260553,707.3559633000731,-275.6949160373323,9575.941074032433,-136342.6999051371,UserTimeline_post-storage-service,0.75,1500.0
True,11.666666666666666,0.813909023721763,917.3928558810395,-1139.1416606345026,9372.55864729206,-103703.51745672671,UserTimeline_post-storage-service,0.75,500.0
True,15.166666666666666,0.8945292281548396,934.2305812307068,771.6752596811648,12929.18038039103,-181349.10039780207,UserTimeline_post-storage-service,1.25,1000.0
True,9.333333333333334,0.7983785303197038,132.4518353003572,1596.5528646731202,8058.63497008158,-69664.7031806183,UserTimeline_post-storage-service,0.25,3000.0
True,4.666666666666667,0.669190506581903,435.8571428571424,2742.0000000000014,4449.412314175661,-18869.35775733022,UserTimeline_post-storage-service,0.75,3000.0
True,15.166666666666666,0.8503453803405401,1166.1927308559286,-540.4095809873685,13028.539360810055,-180189.00128497204,UserTimeline_post-storage-service,1.25,2000.0
True,12.833333333333334,0.8139630703578742,151.80571270498018,2514.6488996159405,9174.08033304823,-111966.73946074593,UserTimeline_post-storage-service,0.75,2500.0
True,14.0,0.8406127281772569,520.6699313804024,-1215.4564364036573,2019.938558431235,-22301.244787710184,UserTimeline_post-storage-service,0.25,500.0
True,28.0,0.7467427062035221,3945.1543127024197,-20025.387918536417,12390.95902735034,-258444.595815381,UserTimeline_user-timeline-service,0.75,3000.0
True,31.5,0.8430346895751878,4646.905029714668,-29327.506451004898,13127.951136790287,-300390.59650173195,UserTimeline_user-timeline-service,0.25,3000.0
True,28.0,0.9011306791805462,3606.326518625129,-10694.142693231126,10753.695670929364,-205379.95313404835,UserTimeline_user-timeline-service,1.25,500.0
True,24.5,0.8180015027069719,2749.695905649324,-6591.2232976944515,9843.529902690037,-183583.220710966,UserTimeline_user-timeline-service,1.25,1500.0
True,17.5,0.8753259359307757,800.5700025174025,3748.799981610438,10045.815251365319,-169393.48218431574,UserTimeline_user-timeline-service,0.75,2500.0
True,38.5,0.8665891092613831,6043.768586372907,-48196.820192704196,15625.619213845368,-417300.24952086044,UserTimeline_user-timeline-service,0.25,2000.0
True,35.0,0.8345463572718577,4940.640170473874,-27502.899221956202,12636.060188059977,-295710.45638583397,UserTimeline_user-timeline-service,1.25,2000.0
True,28.0,0.9028185148867149,3952.816370411885,-18437.79359247478,12133.23196915279,-255012.87309339797,UserTimeline_user-timeline-service,0.75,2000.0
True,21.0,0.9081396815522573,1658.662856452594,4871.679982537063,9708.422674963047,-159564.565602082,UserTimeline_user-timeline-service,1.25,1000.0
True,21.0,0.8775061889755899,1887.5400068673114,-3283.3800881306443,10426.14472888816,-177115.5151258905,UserTimeline_user-timeline-service,0.75,500.0
True,24.5,0.8492232807861753,2252.3107069004036,75.36257343630496,10095.854808233347,-193288.6156639792,UserTimeline_user-timeline-service,1.25,2500.0
True,28.0,0.905828580257946,3735.287245691635,-13487.985716436207,11343.240547589206,-227458.72425630357,UserTimeline_user-timeline-service,1.25,3000.0
True,28.0,0.7980314750538453,4960.448979092822,-31154.857134124384,12252.033821792358,-243562.1974878744,UserTimeline_user-timeline-service,0.25,500.0
True,31.5,0.8177978854419852,4917.237067696943,-31190.7088123903,13339.82388536044,-288743.1096961121,UserTimeline_user-timeline-service,0.25,1000.0
True,31.5,0.8465109931363066,5184.015584415585,-33049.237878787906,12877.710339049627,-281552.0085834214,UserTimeline_user-timeline-service,0.25,1500.0
True,28.0,0.7712527504478858,3957.198748617773,-21570.299823929927,11838.144902759263,-248928.10199571782,UserTimeline_user-timeline-service,0.75,1000.0
True,28.0,0.8797612670198819,3920.461390117799,-18572.235067464775,10671.946682458763,-208113.72735661446,UserTimeline_user-timeline-service,0.75,1500.0
True,25.5,0.9270640628156431,57.13282034221111,1464.531539763526,3198.0544802155714,-82557.46379615186,ComposePost_text-service,0.25,1500.0
True,25.5,0.7466071599533153,35.414874359325694,1769.7353574131544,3243.0522827383993,-88877.62143666338,ComposePost_text-service,0.25,3000.0
True,12.75,0.8661409434610949,249.8828821867536,-225.4256698484706,10684.758451569784,-136996.36780527662,ComposePost_compose-post-service,0.75,2000.0
True,12.75,0.8960760391628539,128.263515541285,4375.982754555029,9887.75123762767,-139268.66797313918,ComposePost_compose-post-service,1.5,2000.0
True,12.75,0.878996728458576,99.00901622821833,4283.213457564636,10642.095649946632,-147877.5743101208,ComposePost_compose-post-service,1.5,500.0
True,12.75,0.8347288620700006,232.49549493754768,1608.9932469756063,9917.142158541657,-136992.82340515617,ComposePost_compose-post-service,1.0,3000.0
True,12.75,0.8790500648877768,202.81981385259988,4134.979775975684,8214.369262103246,-103947.22056658586,ComposePost_compose-post-service,1.5,1000.0
True,22.0,0.6366402320770458,36.74423019645852,3265.5992376424965,10053.274814588194,-282684.4377988219,HomeTimeline_post-storage-service,1.25,2500.0
True,32.0,0.8562339798943461,199.2865396239937,578.500467616546,7871.931626620898,-248633.75299389774,HomeTimeline_post-storage-service,1.25,2000.0
True,32.0,0.7446711607607134,105.43713105099518,466.915554900662,15645.23647884542,-573441.4384353511,HomeTimeline_post-storage-service,0.75,500.0
True,34.0,0.7793816961998514,313.9155035579967,-884.7165014633327,11149.812663059027,-383072.21567098965,HomeTimeline_post-storage-service,1.25,500.0
True,30.0,0.8042067230395974,197.42487051990616,1341.5365404779386,9417.887610149692,-307181.34238330304,HomeTimeline_post-storage-service,1.25,1500.0
True,32.0,0.7782070022513952,91.65994825374356,2683.4896229410215,13214.572917996029,-460751.7774442455,HomeTimeline_post-storage-service,1.25,1000.0
True,34.0,0.7637713651034155,81.09089386477268,-333.03482016998026,14079.527824302095,-509773.2999899635,HomeTimeline_post-storage-service,0.25,2000.0
True,34.0,0.6108400106024701,106.59853423342285,-723.5361188870181,10934.555634259825,-367727.30755835876,HomeTimeline_post-storage-service,0.25,2500.0
True,34.0,0.7968374534240761,207.25331739840237,-1291.8425130357782,12262.55132007292,-424604.7058938765,HomeTimeline_post-storage-service,0.75,2500.0
True,34.0,0.8334090295263509,170.66784293637423,-607.6272179597685,9726.663941225084,-341105.96870074136,HomeTimeline_post-storage-service,0.75,2000.0
True,34.0,0.8005598968564162,140.63835535375918,-445.8880005126765,12847.5989186853,-455804.09362457565,HomeTimeline_post-storage-service,0.75,1500.0
True,34.0,0.6851287773407854,89.37640503895236,-509.7639534894853,13672.075007851212,-484469.51424829994,HomeTimeline_post-storage-service,0.25,3000.0
True,34.0,0.7524272901250358,162.25999675944357,-499.0843868716154,13260.733659296891,-477424.72909579775,HomeTimeline_post-storage-service,0.75,1000.0
True,30.0,0.7109908599367235,51.328394333049474,57.71189492338335,10556.985043445253,-342081.2538533307,HomeTimeline_post-storage-service,0.25,1500.0
True,28.0,0.7969475559964379,8.142494877064678,733.7565061491398,10253.381747602618,-318640.4560944377,HomeTimeline_post-storage-service,0.25,500.0
True,24.0,0.7941863139287118,569.9666666666672,8523.149999999994,466.7041131041601,9584.54163108429,HomeTimeline_nginx-web-server,1.25,2000.0
True,54.0,0.8784186461181923,140.7690005162063,24581.933404746946,511.4887066334014,7706.808916597694,HomeTimeline_nginx-web-server,1.25,2500.0
True,102.0,0.7334284588893117,185.60841176538133,16477.491600123034,777.8460322748405,-46099.59544862244,HomeTimeline_nginx-web-server,0.25,1500.0
True,78.0,0.8754124434499078,49.774552330506936,18853.955198780306,783.1160629118212,-37176.30544652875,HomeTimeline_nginx-web-server,0.25,3000.0
True,90.0,0.6526789264280889,300.53417239195807,9341.442494644107,703.7588421085283,-26813.17560289102,HomeTimeline_nginx-web-server,0.25,1000.0
True,72.0,0.7356686950487599,228.94615256643925,11315.902844785533,567.0562355014838,-14236.251722398498,HomeTimeline_nginx-web-server,0.25,500.0
True,78.0,0.8836219571928149,130.26484497047943,17075.586289684754,658.5455084189949,-24482.170400128838,HomeTimeline_nginx-web-server,0.75,500.0
True,90.0,0.7478569512694482,242.94632427352335,11250.91662654319,700.1868601016828,-31068.619031770333,HomeTimeline_nginx-web-server,0.75,1000.0
True,60.0,0.7592376436554885,421.16788545440835,12328.089918445889,353.0410383680727,13212.589067152201,HomeTimeline_nginx-web-server,0.75,1500.0
True,96.0,0.7249041792689804,35.554240217380965,26626.50881115591,703.9933251529459,-40108.44694899026,HomeTimeline_nginx-web-server,0.75,2000.0
True,84.0,0.8459365422561524,272.8007021127384,9055.524260933513,761.4667882562312,-35603.43843633218,HomeTimeline_nginx-web-server,0.25,2500.0
True,60.0,0.8293119711521735,36.48789803845073,13167.475182584754,730.6904542059202,-28456.680362478164,HomeTimeline_nginx-web-server,0.75,2500.0
True,84.0,0.7159338383305673,186.71771323588348,8603.295182317981,847.2219158623711,-47807.708764926676,HomeTimeline_nginx-web-server,0.25,2000.0
True,24.0,0.8719933564071888,-5808.608333333327,136959.9499999999,387.184955744881,19415.934190633776,HomeTimeline_nginx-web-server,1.25,500.0
True,66.0,0.829670715178914,270.0855757950716,20845.846787687955,390.192951518583,12874.863229862629,HomeTimeline_nginx-web-server,1.25,3000.0
True,78.0,0.8412612349325903,14.40297974604215,33015.95745787123,546.4121835926464,-7833.053449069372,HomeTimeline_nginx-web-server,1.25,1000.0
True,32.0,0.8700110633436936,75.77269714109482,2380.001072886661,12254.62384195732,-425364.7812420523,HomeTimeline_post-storage-service,1.25,3000.0
True,102.0,0.8328317152703821,171.28631817354702,21833.62290953754,486.9878886366336,-1459.0230005568083,HomeTimeline_nginx-web-server,1.25,1500.0
True,54.0,0.8154765622455671,56.07288605419302,29013.240915300703,527.5273510440356,-508.0126529210211,HomeTimeline_nginx-web-server,0.75,3000.0
True,28.0,0.9248873888314001,5868.8191983944835,-47784.6106171554,10675.934558815004,-190969.6605878892,UserTimeline_user-timeline-service,0.25,2500.0
True,84.0,0.7930838111094417,445.1086725076447,15458.819808818695,1184.802063486976,-34935.3328601977,UserTimeline_nginx-web-server,1.25,2500.0
True,49.0,0.8750418009460009,466.1118432844739,14724.459839530342,1043.5182391220933,-15516.54968168297,UserTimeline_nginx-web-server,1.25,3000.0
True,98.0,0.6684559747532615,1241.0921114679472,-22305.449997724554,471.6441549454621,52824.116001881026,UserTimeline_nginx-web-server,0.25,1000.0
True,35.0,0.8778432728232293,106.78286335312158,7668.749926796501,1155.616983733302,-26014.167510550073,UserTimeline_nginx-web-server,0.75,1000.0
True,112.0,0.805823587741321,857.1050935792975,1623.6396274744166,194.4642857142859,81341.24999999997,UserTimeline_nginx-web-server,0.75,1500.0
True,98.0,0.7811502468998635,776.5005598576835,4890.930377657344,846.748740347118,10132.994027066634,UserTimeline_nginx-web-server,0.75,2000.0
True,105.0,0.733872841325914,803.101487769246,3450.7593192497234,936.5549095145846,-2208.3225239750127,UserTimeline_nginx-web-server,0.75,3000.0
True,105.0,0.8500355762301276,893.2828524491588,-3291.8514090505887,504.0747333923389,42763.448075664666,UserTimeline_nginx-web-server,1.25,1000.0
True,34.0,0.7866991749074279,323.4944124570919,-2641.7875940998024,11989.58696692,-420034.90814729413,HomeTimeline_post-storage-service,0.75,3000.0
True,36.0,0.8772918986719032,7.341216216230058,1820.4256756796437,2039.381841452597,-71393.1289016818,ComposePost_nginx-web-server,0.25,2000.0
True,24.0,0.8094110668047816,-6.09583333333273,1970.0124999999875,6736.807942990918,-443861.98824892356,ComposePost_nginx-web-server,0.25,500.0
True,24.0,0.7792739719668492,-1.5416666666666663,138.875,0.45413991155178607,48.6887510287663,ComposePost_social-graph-service,0.25,500.0
True,24.0,0.9905532662170525,4.404166666666655,275.3625000000001,-302.070764354128,95424.01141603405,ComposePost_write-home-timeline-service,0.25,3000.0
