parentMS,childMS,parentOperation,childOperation,tag,service,step
nginx-web-server,nginx-web-server,/wrk2-api/post/compose,/wrk2-api/post/compose,1,ComposePost,1
nginx-web-server,nginx-web-server,/wrk2-api/post/compose,ComposePost,1.1,ComposePost,1
nginx-web-server,unique-id-service,ComposePost,UploadUniqueId,1.1.1,ComposePost,1
unique-id-service,compose-post-service,UploadUniqueId,UploadUniqueId,1.1.1.1,ComposePost,1
compose-post-service,compose-post-service,UploadUniqueId,RedisHashSet,1.1.1.1.1,ComposePost,1
nginx-web-server,user-service,ComposePost,UploadUserWithUserId,1.1.2,ComposePost,1
user-service,compose-post-service,UploadUserWithUserId,UploadCreator,1.1.2.1,ComposePost,1
compose-post-service,compose-post-service,UploadCreator,RedisHashSet,1.1.2.1.1,ComposePost,1
nginx-web-server,text-service,ComposePost,UploadText,1.1.3,ComposePost,1
text-service,user-mention-service,UploadText,UploadUserMentions,1.1.3.1,ComposePost,1
user-mention-service,compose-post-service,UploadUserMentions,UploadUserMentions,1.1.3.1.1,ComposePost,1
compose-post-service,compose-post-service,UploadUserMentions,RedisHashSet,1.1.3.1.1.1,ComposePost,1
text-service,url-shorten-service,UploadText,UploadUrls,1.1.3.2,ComposePost,1
url-shorten-service,compose-post-service,UploadUrls,UploadUrls,1.1.3.2.1,ComposePost,1
compose-post-service,compose-post-service,UploadUrls,RedisHashSet,1.1.3.2.1.1,ComposePost,1
text-service,compose-post-service,UploadText,UploadText,1.1.3.3,ComposePost,1
compose-post-service,post-storage-service,UploadText,StorePost,1.1.3.3.1,ComposePost,2
post-storage-service,post-storage-service,StorePost,MongoInsertPost,1.1.3.3.1.1,ComposePost,1
compose-post-service,write-home-timeline-service,UploadText,FanoutHomeTimelines,1.1.3.3.2,ComposePost,3
write-home-timeline-service,write-home-timeline-service,FanoutHomeTimelines,RedisUpdate,1.1.3.3.2.1,ComposePost,2
write-home-timeline-service,social-graph-service,FanoutHomeTimelines,GetFollowers,1.1.3.3.2.2,ComposePost,1
social-graph-service,social-graph-service,GetFollowers,RedisGet,1.1.3.3.2.2.1,ComposePost,1
social-graph-service,social-graph-service,GetFollowers,MongoFindUser,1.1.3.3.2.2.2,ComposePost,1
compose-post-service,user-timeline-service,UploadText,WriteUserTimeline,1.1.3.3.3,ComposePost,2
user-timeline-service,user-timeline-service,WriteUserTimeline,RedisUpdate,1.1.3.3.3.1,ComposePost,1
user-timeline-service,user-timeline-service,WriteUserTimeline,MongoInsert,1.1.3.3.3.2,ComposePost,2
compose-post-service,compose-post-service,UploadText,RedisHashSet,1.1.3.3.4,ComposePost,1
nginx-web-server,media-service,ComposePost,UploadMedia,1.1.4,ComposePost,1
media-service,compose-post-service,UploadMedia,UploadMedia,1.1.4.1,ComposePost,1
compose-post-service,compose-post-service,UploadMedia,RedisHashSet,1.1.4.1.1,ComposePost,1
nginx-web-server,nginx-web-server,/wrk2-api/user-timeline/read,/wrk2-api/user-timeline/read,1,UserTimeline,1
nginx-web-server,nginx-web-server,/wrk2-api/user-timeline/read,ReadUserTimeline,1.1,UserTimeline,1
nginx-web-server,user-timeline-service,ReadUserTimeline,ReadUserTimeline,1.1.1,UserTimeline,1
user-timeline-service,post-storage-service,ReadUserTimeline,ReadPosts,1.1.1.1,UserTimeline,4
post-storage-service,post-storage-service,ReadPosts,MemcachedMget,1.1.1.1.1,UserTimeline,1
post-storage-service,post-storage-service,ReadPosts,MongoFindPosts,1.1.1.1.2,UserTimeline,2
post-storage-service,post-storage-service,ReadPosts,MmcSetPost,1.1.1.1.3,UserTimeline,3
user-timeline-service,user-timeline-service,ReadUserTimeline,RedisFind,1.1.1.2,UserTimeline,1
user-timeline-service,user-timeline-service,ReadUserTimeline,MongoFindUserTimeline,1.1.1.3,UserTimeline,2
user-timeline-service,user-timeline-service,ReadUserTimeline,RedisUpdate,1.1.1.4,UserTimeline,3
nginx-web-server,nginx-web-server,/wrk2-api/home-timeline/read,/wrk2-api/home-timeline/read,1,HomeTimeline,1
nginx-web-server,nginx-web-server,/wrk2-api/home-timeline/read,ReadHomeTimeline,1.1,HomeTimeline,1
nginx-web-server,home-timeline-service,ReadHomeTimeline,ReadHomeTimeline,1.1.1,HomeTimeline,1
home-timeline-service,home-timeline-service,ReadHomeTimeline,RedisFind,1.1.1.1,HomeTimeline,1
home-timeline-service,post-storage-service,ReadHomeTimeline,ReadPosts,1.1.1.2,HomeTimeline,2
post-storage-service,post-storage-service,ReadPosts,MemcachedMget,1.1.1.2.1,HomeTimeline,1
post-storage-service,post-storage-service,ReadPosts,MongoFindPosts,1.1.1.2.2,HomeTimeline,1
post-storage-service,post-storage-service,ReadPosts,MmcSetPost,1.1.1.2.3,HomeTimeline,1
