,depth,num,rpc_type,percentage
0,3,867,mq,0.0003669917164726854
1,5,393,mq,0.02035623409669212
2,10,585,mq,0.17094017094017094
3,2,267,rpc,0.04790065050266114
4,5,393,rpc,0.17461832061068702
5,9,523,rpc,0.9751434034416826
6,16,177,rpc,0.6949152542372882
7,1,864,memcached,0.9871031746031746
8,2,267,memcached,0.9155003613903676
9,6,253,memcached,0.5786561264822134
10,10,585,memcached,0.8273504273504273
11,23,67,memcached,0.10021321961620468
12,3,867,db,0.0018873859704309527
13,5,393,db,0.4074427480916031
14,6,253,db,0.21877470355731227
15,13,496,db,0.06854838709677419
16,2,267,http,0.00019712201852946967
17,6,253,mq,0.11324110671936755
18,13,111,mq,0.0661599099099099
19,15,413,mq,0.0774818401937046
20,16,177,mq,0.07909604519774012
21,23,67,mq,0.019189765458422176
22,1,864,rpc,0.012814153439153441
23,2,1127,rpc,0.1712511091393079
24,3,867,rpc,0.003355352836321694
25,3,1049,rpc,0.011439466158245943
26,4,100,rpc,0.07461832061068703
27,6,253,rpc,0.0893280632411067
28,13,111,rpc,0.06306306306306306
29,4,100,memcached,0.6811545801526723
30,8,507,memcached,0.003451676528599606
31,9,523,memcached,0.003824091778202677
32,13,496,memcached,0.8521505376344086
33,15,413,memcached,0.8571428571428571
34,1,864,db,8.267195767195767e-05
35,3,1049,db,0.0010486177311725452
36,15,413,db,0.06537530266343826
37,5,393,http,0.001272264631043257
38,2,267,mq,6.570733950982325e-05
39,3,1049,mq,9.532888465204957e-05
40,4,100,mq,0.030238549618320683
41,13,496,mq,0.0793010752688172
42,8,507,rpc,0.9733727810650888
43,23,67,rpc,0.6055437100213219
44,2,1127,memcached,0.8287488908606921
45,3,867,memcached,0.9943902694767744
46,3,1049,memcached,0.9874165872259296
47,5,393,memcached,0.39631043256997456
48,13,111,memcached,0.668918918918919
49,16,177,memcached,0.2259887005649717
50,2,267,db,0.036336158748932264
51,4,100,db,0.21398854961832026
52,8,507,db,0.02317554240631164
53,9,523,db,0.021032504780114723
54,10,585,db,0.0017094017094017096
55,13,111,db,0.2018581081081081
56,23,67,db,0.2750533049040512
57,1,56,mq,0.01767027083405764
58,1,56,rpc,0.19856238918054456
59,3,2029,rpc,0.0007392804337111878
60,4,1120,rpc,0.0017857142857142854
61,17,24,rpc,0.6170027383619613
