,leaf,depth,num_sum,percentage
0,5041586,0,176738381,0.02852569980257995
1,7686360,1,237546812,0.03235724333778893
2,11141091,2,276619980,0.04027580003440098
3,41094696,3,223972457,0.18348102507979366
4,81626046,4,313315193,0.2605237403856123
5,94641404,5,330040775,0.28675670150150384
6,54116500,6,149403100,0.3622180530390601
7,38566667,7,118744070,0.32478815152621937
8,25468241,8,111236653,0.2289554774719804
9,20462708,9,94536581,0.2164528035977946
10,24210656,10,79051423,0.3062646449767261
11,14906689,11,66913944,0.2227740304771155
12,7635253,12,46814253,0.16309676029648493
13,10219144,13,38955806,0.26232659645137363
14,5158587,14,28082445,0.18369436849248705
15,3535067,15,23038986,0.1534384803220072
16,3607808,16,16889531,0.2136120890509038
17,2119006,17,13487396,0.15711009004258494
18,1588727,18,12164857,0.1305997267374372
19,1362103,19,11256108,0.12101012179342985
20,1173578,20,10540779,0.111336932498063
21,1125247,21,9095697,0.12371201459327415
22,609774,22,5188417,0.1175260199787334
23,124667,23,1259239,0.0990018574710599
24,30412,24,218366,0.13927076559537654
25,8458,25,124188,0.06810641929977132
26,5921,26,88713,0.06674331834116759
27,4344,27,19396,0.22396370385646525
28,3906,28,4122,0.9475982532751092
29,2161,29,2338,0.924294268605646
30,1456,30,1584,0.9191919191919192
31,1005,31,1005,1.0
32,19,32,19,1.0
